Title,Price_Text,Price_Numeric,Location,Bedrooms,Bathrooms,Area_Size,Area_Unit,Area_Sqft
5 Marla Modern House For Sale On Installments,2.2 Crore,22000000.0,"Central Park Housing Scheme, Lahore",3.0,4.0,5.0,Marla,1361.25
10 Marla House For Sale Brand New,3.25 Crore,32500000.0,"AWT Phase 2, AWT Army Welfare Trust",4.0,5.0,10.0,Marla,2722.5
10 Marla Like Brand New Luxury House For Sale In Bahria Town Lahore.,3.35 Crore,33500000.0,"Bahria Town - Sector C, Bahria Town",5.0,6.0,10.0,Marla,2722.5
1 KANAL CORNER OWNER BUILD HOUSE AVAILABLE FOR SALE IN WAPDA TOWN PHASE 1,5.65 Crore,56500000.0,"Wapda Town Phase 1, Wapda Town",6.0,6.0,1.0,Kanal,5445.0
2 Kanal Slightly Used Spanish Design Most Beautiful Bungalow For Sale At Prime Location Of DHA Lahore Near To Park Masjid & Commercial Market.,15 Crore,150000000.0,"DHA Phase 2 - Block R, DHA Phase 2",6.0,7.0,2.0,Kanal,10890.0
One Kanal Brand New Luxury Ultra-Modern Design Most Beautiful Full Basement 8-Bedroom Swimming Pool Bungalow For Sale At Prime Location Of DHA Lahore Near To Park Masjid & Commercial Market.,10.25 Crore,102500000.0,"DHA Phase 8, DHA Defence",8.0,7.0,1.0,Kanal,5445.0
1 Kanal Beautiful House Is Available For Sale On Easy Instalments,8.5 Crore,85000000.0,"DHA Phase 7, DHA Defence",5.0,5.0,1.0,Kanal,5445.0
5 Marla Brand New Beautiful House Is Available For Sale On Easy Instalments,2.65 Crore,26500000.0,"DHA 9 Town, DHA Defence",4.0,4.0,5.0,Marla,1361.25
5 Marla Brand New Beautiful House Is Available For Sale On Easy Instalments,2.75 Crore,27500000.0,"Etihad Town Phase 1, Etihad Town",4.0,4.0,5.0,Marla,1361.25
5 Marla Brand New Beautiful House Is Available For Sale On Easy Instalments,2.6 Crore,26000000.0,"Lake City, Raiwind Road",4.0,4.0,5.0,Marla,1361.25
25 Marla Modern Palace Top Quality Furnished FULL Basement Build Luxurious Beautiful Design With Basement Bungalow For Sale In DHA Lahore Phase 6 Prime Location,8.38 Crore,83800000.00000001,"DHA Phase 6, DHA Defence",6.0,7.0,1.2,Kanal,6534.0
Near To DHA RAYA 1 Kanal Top Quality Build Luxurious Beautiful Modern Design Villa With Basement For Sale In DHA Lahore Phase 7 Prime Location,6.38 Crore,63800000.0,"DHA Phase 7 - Block S, DHA Phase 7",6.0,7.0,1.0,Kanal,5445.0
-    Key Features:,8.99 Crore,89900000.0,"Valencia Housing Society, Lahore",6.0,6.0,1.0,Kanal,5445.0
Modern Design 1-Kanal House For Sale In Valencia. 5 Beds +Swimming Pool  Location:- NFC Valencia Town Lahore. Modern Design Brand New 1-Kanal House Is Available For Sale. 5 Beds + Swimming Pool,8.5 Crore,85000000.0,"Valencia Housing Society, Lahore",5.0,6.0,1.0,Kanal,5445.0
Get In Touch Now To Buy A House In Lake City Lahore,9.8 Crore,98000000.0,"Lake City, Raiwind Road",5.0,6.0,1.0,Kanal,5445.0
"Brand New 1 Kanal House For Sale In DHA Phase 7, Lahore By Haram Estate & Builders",6.25 Crore,62500000.0,"DHA Phase 7, DHA Defence",5.0,6.0,1.0,Kanal,5445.0
5 Marla Classical Design House For Sale Facing Park Solid Construction All Facilities Available Here. . .,2.1 Crore,21000000.0,"Central Park Housing Scheme, Lahore",4.0,5.0,5.0,Marla,1361.25
2 Kanal Beautiful Modern Designer House For Sale At Prime Location Of DHA,13.25 Crore,132500000.0,"DHA Phase 7, DHA Defence",6.0,6.0,2.0,Kanal,10890.0
Fully Furnished Luxury 2-Kanal Brand New Spanish Design Bungalow For Sale In DHA Phase-VI,55 Crore,550000000.0,"DHA Phase 6, DHA Defence",7.0,7.0,2.0,Kanal,10890.0
10 Marla House For Sale In Jasmine Block Bahria Town Lahore,3.2 Crore,32000000.0,"Bahria Town - Sector C, Bahria Town",5.0,7.0,10.0,Marla,2722.5
Agrice Town 14 Marla House Double Unit Near To Etihad Twn Phase 1,3.6 Crore,36000000.0,"Agrics Town, Lahore",6.0,6.0,14.0,Marla,3811.5
5 Marla House For Sale In Dha Rahbar,2.35 Crore,23500000.0,"DHA 11 Rahbar Phase 2, DHA 11 Rahbar",3.0,4.0,5.0,Marla,1361.25
Investors Should Sale This House Located Ideally In Izmir Town,4.6 Crore,46000000.0,"Izmir Town - Block J, Izmir Town",5.0,6.0,11.0,Marla,2994.75
Askari 10 Corner Brand New Brig House 5 Beds Urgent For Sale,8.75 Crore,87500000.0,"Askari 10, Askari",5.0,6.0,15.0,Marla,4083.75
Spacious 14 Marla Double Story House for Sale in Gondal Chowk College Road Lahore,4 Crore,40000000.0,"College Road, Lahore",5.0,6.0,14.0,Marla,3811.5
"Reasonably-Priced 12 Marla House In Askari 10 - Sector S, Lahore Is Available As Of Now",4.45 Crore,44500000.0,"Askari 10 - Sector S, Askari 10",4.0,4.0,12.0,Marla,3267.0
Reserve A House Of 12 Marla Now In Askari 10 - Sector S,4.4 Crore,44000000.0,"Askari 10 - Sector S, Askari 10",4.0,5.0,12.0,Marla,3267.0
10 Marla Brand New Beautiful House Is Available For Sale On Easy Instalments,4.95 Crore,49500000.0,"Lake City, Raiwind Road",5.0,5.0,10.0,Marla,2722.5
10 Marla House In F2 Block With One Bedroom In Ground Floor And Three Bedrooms On 1st Floor And Two Bedrooms In 2nd Floor,3.5 Crore,35000000.0,"Wapda Town Phase 1 - Block F2, Wapda Town Phase 1",6.0,6.0,10.0,Marla,2722.5
2 Kanal Old House Near Jalal Sons Sweet And Bakers,11.9 Crore,119000000.0,"Valencia Housing Society, Lahore",9.0,6.0,2.0,Kanal,10890.0
5 Marla Brand New House For Sale In Park View City,1.95 Crore,19500000.0,"Park View City - Tulip Block, Park View City",4.0,4.0,5.0,Marla,1361.25
23 Marla House For sale In Nasheman-e-Iqbal Phase 1 Lahore,6.5 Crore,65000000.0,"Nasheman-e-Iqbal Phase 1, Nasheman-e-Iqbal",7.0,6.0,1.2,Kanal,6534.0
"""Charming 3-Bedroom 5 Marla House In DHA Modern Comfort With Stylish Finishes""",2.35 Crore,23500000.0,"DHA 9 Town, DHA Defence",3.0,4.0,5.0,Marla,1361.25
"""Charming 3-Bedroom 5 Marla House in DHA Modern Comfort with Stylish Finishes""",2.25 Crore,22500000.0,"DHA 9 Town, DHA Defence",3.0,4.0,5.0,Marla,1361.25
1 Kanal Most Luxury Palace Beautiful Design Bungalow For Sale At Prime Location In DHA Phase 6,8.85 Crore,88500000.0,"DHA Phase 6 - Block H, DHA Phase 6",6.0,7.0,1.0,Kanal,5445.0
1 Kanal Luxurious Most Beautiful Design Bungalow For Sale At Prime Location,7.75 Crore,77500000.0,"DHA Phase 6 - Block K, DHA Phase 6",5.0,6.0,1.0,Kanal,5445.0
1 Kanal Modern Design Luxury Bungalow For Sale In Phase 5 Lahore,7.75 Crore,77500000.0,"DHA Phase 5 - Block B, DHA Phase 5",6.0,6.0,1.2,Kanal,6534.0
Near Park One Kanal Brand New Ultra Modern Bungalow For Sale,7.75 Crore,77500000.0,"DHA Phase 5 - Block E, DHA Phase 5",6.0,7.0,1.0,Kanal,5445.0
1 Kanal Most Beautiful Modern Design Bungalow For Sale At Prime Location Of Dha,7.15 Crore,71500000.0,"DHA Phase 5 - Block H, DHA Phase 5",5.0,6.0,1.0,Kanal,5445.0
5 Marla Brand New Ultra Modern Design House For Sale In DHA Rahber Phase 11 Sector 2,2.5 Crore,25000000.0,"DHA 11 Rahbar Phase 2, DHA 11 Rahbar",3.0,4.0,5.0,Marla,1361.25
Architectural Masterpiece 2 Kanal Bungalow Triple-Heighted Grandeur with Private Swimming Pool & Imported Interiors DHA Phase 7 (Near Raya | Hot Location)| 100 % Original Deal,10.25 Crore,102500000.0,"DHA Phase 7, DHA Defence",6.0,6.0,2.0,Kanal,10890.0
3 Marla Brand New House Available For Sale In Al Kabir Town Phase-2,1.15 Crore,11500000.0,"Al-Kabir Phase 2 - Block B, Al-Kabir Town - Phase 2",3.0,4.0,3.0,Marla,816.75
Affordable Prime Location House For sale In DHA Phase 2 - Block R,17 Crore,170000000.0,"DHA Phase 2 - Block R, DHA Phase 2",6.0,6.0,2.0,Kanal,10890.0
Prime Location 5 Marla Spacious House Is Available In DHA 9 Town - Block C For Sale,2.9 Crore,29000000.0,"DHA 9 Town - Block C, DHA 9 Town",3.0,4.0,5.0,Marla,1361.25
10 Marla Corner House Available For sale In Marghzar Officers Colony,4.51 Crore,45100000.0,"Marghzar Officers Colony, Lahore",4.0,4.0,10.0,Marla,2722.5
22 Marla House Is Available For Sale In Imperial Garden Homes Paragon City Lahore,10 Crore,100000000.0,"Imperial Garden Homes, Paragon City",5.0,5.0,1.1,Kanal,5989.500000000001
Prime Location 4 Marla House In Only Rs. 15500000,1.55 Crore,15500000.0,"IEP Engineers Town, Lahore",3.0,4.0,4.0,Marla,1089.0
